,short_title,icd9_code,long_title
3916,Communicat hydrocephalus,3313,Communicating hydrocephalus
3917,Obstructiv hydrocephalus,3314,Obstructive hydrocephalus
3918,Norml pressure hydroceph,3315,Idiopathic normal pressure hydrocephalus (INPH)
3919,Corticobasal degneration,3316,Corticobasal degeneration
3920,Cereb degen in oth dis,3317,Cerebral degeneration in diseases classified elsewhere
3921,Reye's syndrome,33181,Reye's syndrome
3922,Dementia w Lewy bodies,33182,Dementia with lewy bodies
3923,Mild cognitive impairemt,33183,"Mild cognitive impairment, so stated"
3924,Cereb degeneration NEC,33189,Other cerebral degeneration
3925,Cereb degeneration NOS,3319,"Cerebral degeneration, unspecified"
3926,Paralysis agitans,3320,Paralysis agitans
3927,Binocular vision dis NOS,36830,"Binocular vision disorder, unspecified"
3928,Binocular vis suppress,36831,Suppression of binocular vision
3929,Visual percept w/o fusn,36832,Simultaneous visual perception without fusion
3930,Fusion w def stereopsis,36833,Fusion with defective stereopsis
3931,Abn retina correspond,36834,Abnormal retinal correspondence
3932,Visual field defect NOS,36840,"Visual field defect, unspecified"
3933,Central scotoma,36841,Scotoma involving central area
3934,Scotoma of blind spot,36842,Scotoma of blind spot area
3935,Sector or arcuate defect,36843,Sector or arcuate visual field defects
3936,Visual field defect NEC,36844,Other localized visual field defect
3937,Gen visual contraction,36845,Generalized visual field contraction or constriction
3938,Homonymous hemianopsia,36846,Homonymous bilateral field defects
3939,Heteronymous hemianopsia,36847,Heteronymous bilateral field defects
3940,Protan defect,36851,Protan defect
3941,Deutan defect,36852,Deutan defect
3942,Tritan defect,36853,Tritan defect
3943,Achromatopsia,36854,Achromatopsia
3944,Acq color deficiency,36855,Acquired color vision deficiencies
3945,Color deficiency NEC,36859,Other color vision deficiencies
3946,Night blindness NOS,36860,"Night blindness, unspecified"
3947,Congen night blindness,36861,Congenital night blindness
3948,Acquired night blindness,36862,Acquired night blindness
3949,Abn dark adaptat curve,36863,Abnormal dark adaptation curve
3950,Night blindness NEC,36869,Other night blindness
3951,Visual disturbances NEC,3688,Other specified visual disturbances
3952,Visual disturbance NOS,3689,Unspecified visual disturbance
3953,Both eyes blind-who def,36900,"Profound impairment, both eyes, impairment level not further specified"
3954,Tot impairment-both eyes,36901,Better eye: total vision impairment; lesser eye: total vision impairment
3955,One eye-near tot/oth-NOS,36902,Better eye: near-total vision impairment; lesser eye: not further specified
3956,One eye-near tot/oth-tot,36903,Better eye: near-total vision impairment; lesser eye: total vision impairment
3957,Near-tot impair-both eye,36904,Better eye: near-total vision impairment; lesser eye: near-total vision impairment
3958,One eye-profound/oth-NOS,36905,Better eye: profound vision impairment; lesser eye: not further specified
3959,One eye-profound/oth-tot,36906,Better eye: profound vision impairment; lesser eye: total vision impairment
3960,One eye-prfnd/oth-nr tot,36907,Better eye: profound vision impairment; lesser eye: near-total vision impairment
3961,Profound impair both eye,36908,Better eye: profound vision impairment; lesser eye: profound vision impairment
3962,Blindness/low vision,36910,"Moderate or severe impairment, better eye, impairment level not further specified"
3963,1 eye-sev/oth-blind NOS,36911,"Better eye: severe vision impairment; lesser eye: blind, not further specified"
3964,One eye-severe/oth-total,36912,Better eye: severe vision impairment; lesser eye: total vision impairment
3965,One eye-sev/oth-near tot,36913,Better eye: severe vision impairment; lesser eye: near-total vision impairment
3966,One eye-sev/oth-prfnd,36914,Better eye: severe vision impairment; lesser eye: profound vision impairment
3967,One eye-mod/oth-blind,36915,"Better eye: moderate vision impairment; lesser eye: blind, not further specified"
3968,One eye-moderate/oth-tot,36916,Better eye: moderate vision impairment; lesser eye: total vision impairment
3969,One eye-mod/oth-near tot,36917,Better eye: moderate vision impairment; lesser eye: near-total vision impairment
3970,One eye-mod/oth-profound,36918,Better eye: moderate vision impairment; lesser eye: profound vision impairment
3971,"Low vision, 2 eyes NOS",36920,"Moderate or severe impairment, both eyes, impairment level not further specified"
3972,One eye-severe/oth-NOS,36921,Better eye: severe vision impairment; lesser eye; impairment not further specified
3973,Severe impair-both eyes,36922,Better eye: severe vision impairment; lesser eye: severe vision impairment
3974,One eye-moderate/oth-NOS,36923,Better eye: moderate vision impairment; lesser eye: impairment not further specified
3975,One eye-moderate/oth-sev,36924,Better eye: moderate vision impairment; lesser eye: severe vision impairment
3976,Moderate impair-both eye,36925,Better eye: moderate vision impairment; lesser eye: moderate vision impairment
3977,"Blindness NOS, both eyes",3693,"Unqualified visual loss, both eyes"
3978,Legal blindness-usa def,3694,"Legal blindness, as defined in U.S.A."
3979,"Blindness, one eye",36960,"Profound impairment, one eye, impairment level not further specified"
3980,One eye-total/oth-unknwn,36961,One eye: total vision impairment; other eye: not specified
3981,One eye-tot/oth-near nor,36962,One eye: total vision impairment; other eye: near-normal vision
3982,One eye-total/oth-normal,36963,One eye: total vision impairment; other eye: normal vision
3983,One eye-near tot/oth-NOS,36964,One eye: near-total vision impairment; other eye: vision not specified
3984,Near-tot imp/near-normal,36965,One eye: near-total vision impairment; other eye: near-normal vision
3985,Near-total impair/normal,36966,One eye: near-total vision impairment; other eye: normal vision
3986,One eye-prfound/oth-unkn,36967,One eye: profound vision impairment; other eye: vision not specified
3987,Profnd impair/near norm,36968,One eye: profound vision impairment; other eye: near-normal vision
3988,Profound impair/normal,36969,One eye: profound vision impairment; other eye: normal vision
3989,"Low vision, one eye",36970,"Moderate or severe impairment, one eye, impairment level not further specified"
3990,One eye-severe/oth-unknw,36971,One eye: severe vision impairment; other eye: vision not specified
3991,One eye-sev/oth-nr norm,36972,One eye: severe vision impairment; other eye: near-normal vision
3992,One eye-severe/oth-norm,36973,One eye: severe vision impairment; other eye: normal vision
3993,One eye-mod/other-unknwn,36974,One eye: moderate vision impairment; other eye: vision not specified
3994,One eye-mod/oth-nr norm,36975,One eye: moderate vision impairment; other eye: near-normal vision
3995,One eye-mod/oth normal,36976,One eye: moderate vision impairment; other eye: normal vision
3996,"Visual loss, one eye NOS",3698,"Unqualified visual loss, one eye"
3997,Visual loss NOS,3699,Unspecified visual loss
3998,Corneal ulcer NOS,37000,"Corneal ulcer, unspecified"
3999,Marginal corneal ulcer,37001,Marginal corneal ulcer
4000,Ring corneal ulcer,37002,Ring corneal ulcer
4001,Central corneal ulcer,37003,Central corneal ulcer
4002,Hypopyon ulcer,37004,Hypopyon ulcer
4003,Mycotic corneal ulcer,37005,Mycotic corneal ulcer
4004,Perforated corneal ulcer,37006,Perforated corneal ulcer
4005,Mooren's ulcer,37007,Mooren's ulcer
4006,Superfic keratitis NOS,37020,"Superficial keratitis, unspecified"
4007,Punctate keratitis,37021,Punctate keratitis
4008,Macular keratitis,37022,Macular keratitis
4009,Filamentary keratitis,37023,Filamentary keratitis
4010,Photokeratitis,37024,Photokeratitis
4011,Phlycten keratoconjunct,37031,Phlyctenular keratoconjunctivitis
4012,Limbar keratoconjunctiv,37032,Limbar and corneal involvement in vernal conjunctivitis
4013,Keratoconjunctivit sicca,37033,"Keratoconjunctivitis sicca, not specified as Sjogren's"
4014,Expsure keratoconjunctiv,37034,Exposure keratoconjunctivitis
4015,Neurotroph keratoconjunc,37035,Neurotrophic keratoconjunctivitis
4016,Keratoconjunctivitis NOS,37040,"Keratoconjunctivitis, unspecified"
4017,Keratitis in exanthema,37044,Keratitis or keratoconjunctivitis in exanthema
4018,Keratoconjunctivitis NEC,37049,Other keratoconjunctivitis
4019,Interstit keratitis NOS,37050,"Interstitial keratitis, unspecified"
4020,Diffus interstit keratit,37052,Diffuse interstitial keratitis
4021,Sclerosing keratitis,37054,Sclerosing keratitis
4022,Corneal abscess,37055,Corneal abscess
4023,Interstit keratitis NEC,37059,Other interstitial and deep keratitis
4024,Cornea neovasculariz NOS,37060,"Corneal neovascularization, unspecified"
4025,Local vasculariza cornea,37061,Localized vascularization of cornea
4026,Corneal pannus,37062,Pannus (corneal)
4027,Deep vasculariza cornea,37063,Deep vascularization of cornea
4028,Corneal ghost vessels,37064,Ghost vessels (corneal)
4029,Keratitis NEC,3708,Other forms of keratitis
4030,Keratitis NOS,3709,Unspecified keratitis
4031,Corneal opacity NOS,37100,"Corneal opacity, unspecified"
4032,Minor opacity of cornea,37101,Minor opacity of cornea
4033,Periph opacity of cornea,37102,Peripheral opacity of cornea
4034,"Central opacity, cornea",37103,Central opacity of cornea
4035,Adherent leucoma,37104,Adherent leucoma
4036,Phthisical cornea,37105,Phthisical cornea
4037,Corneal deposit NOS,37110,"Corneal deposit, unspecified"
4038,Ant cornea pigmentation,37111,Anterior corneal pigmentations
4039,Stromal cornea pigment,37112,Stromal corneal pigmentations
4040,Post cornea pigmentation,37113,Posterior corneal pigmentations
4041,Kayser-fleischer ring,37114,Kayser-Fleischer ring
4042,Oth deposit w metab dis,37115,Other corneal deposits associated with metabolic disorders
4043,Argentous cornea deposit,37116,Argentous corneal deposits
4044,Corneal edema NOS,37120,"Corneal edema, unspecified"
4045,Idiopathic corneal edema,37121,Idiopathic corneal edema
4046,Secondary corneal edema,37122,Secondary corneal edema
4047,Bullous keratopathy,37123,Bullous keratopathy
4048,Edema d/t contact lens,37124,Corneal edema due to wearing of contact lenses
4049,Cornea memb change NOS,37130,"Corneal membrane change, unspecified"
4050,Fold of bowman membrane,37131,Folds and rupture of bowman's membrane
4051,Fold in descemet membran,37132,Folds in descemet's membrane
4052,Rupture descemet membran,37133,Rupture in descemet's membrane
4053,Corneal degeneration NOS,37140,"Corneal degeneration, unspecified"
4054,Senile corneal changes,37141,Senile corneal changes
4055,Recurrent cornea erosion,37142,Recurrent erosion of cornea
4056,Band-shaped keratopathy,37143,Band-shaped keratopathy
4057,Calcer cornea degen NEC,37144,Other calcerous degenerations of cornea
4058,Keratomalacia NOS,37145,Keratomalacia NOS
4059,Nodular cornea degen,37146,Nodular degeneration of cornea
4060,Peripheral cornea degen,37148,Peripheral degenerations of cornea
4061,Cornea degeneration NEC,37149,Other corneal degenerations
4062,Corneal dystrophy NOS,37150,"Hereditary corneal dystrophy, unspecified"
4063,Juv epith cornea dystrph,37151,Juvenile epithelial corneal dystrophy
4064,Ant cornea dystrophy NEC,37152,Other anterior corneal dystrophies
4065,Granular cornea dystrphy,37153,Granular corneal dystrophy
4066,Lattice cornea dystrophy,37154,Lattice corneal dystrophy
4067,Macular cornea dystrophy,37155,Macular corneal dystrophy
4068,Strom cornea dystrph NEC,37156,Other stromal corneal dystrophies
4069,Endothel cornea dystrphy,37157,Endothelial corneal dystrophy
4070,Post cornea dystrphy NEC,37158,Other posterior corneal dystrophies
4071,Keratoconus NOS,37160,"Keratoconus, unspecified"
4072,"Keratoconus, stable",37161,"Keratoconus, stable condition"
4073,"Keratoconus, ac hydrops",37162,"Keratoconus, acute hydrops"
4074,Corneal deformity NOS,37170,"Corneal deformity, unspecified"
4075,Corneal ectasia,37171,Corneal ectasia
4076,Descemetocele,37172,Descemetocele
4077,Corneal staphyloma,37173,Corneal staphyloma
4078,Corneal anesthesia,37181,Corneal anesthesia and hypoesthesia
4079,Corneal dsdr contct lens,37182,Corneal disorder due to contact lens
4080,Corneal disorder NEC,37189,Other corneal disorders
4081,Corneal disorder NOS,3719,Unspecified corneal disorder
4082,Acute conjunctivitis NOS,37200,"Acute conjunctivitis, unspecified"
4083,Serous conjunctivitis,37201,"Serous conjunctivitis, except viral"
4084,Ac follic conjunctivitis,37202,Acute follicular conjunctivitis
4085,Mucopur conjunctivit NEC,37203,Other mucopurulent conjunctivitis
4086,Pseudomemb conjunctivit,37204,Pseudomembranous conjunctivitis
4087,Ac atopic conjunctivitis,37205,Acute atopic conjunctivitis
4088,Ac chem conjunctivitis,37206,Acute chemical conjunctivitis
4089,Chr conjunctivitis NOS,37210,"Chronic conjunctivitis, unspecified"
4090,Simpl chr conjunctivitis,37211,Simple chronic conjunctivitis
4091,Chr follic conjunctivit,37212,Chronic follicular conjunctivitis
4092,Pneumogastric nerve dis,3523,Disorders of pneumogastric [10th] nerve
4093,Accessory nerve disorder,3524,Disorders of accessory [11th] nerve
4094,Hypoglossal nerve dis,3525,Disorders of hypoglossal [12th] nerve
4095,Mult cranial nerve palsy,3526,Multiple cranial nerve palsies
4096,Cranial nerve dis NOS,3529,Unspecified disorder of cranial nerves
4097,Brachial plexus lesions,3530,Brachial plexus lesions
4098,Lumbosacral plex lesion,3531,Lumbosacral plexus lesions
4099,Cervical root lesion NEC,3532,"Cervical root lesions, not elsewhere classified"
4100,Thoracic root lesion NEC,3533,"Thoracic root lesions, not elsewhere classified"
4101,Lumbsacral root les NEC,3534,"Lumbosacral root lesions, not elsewhere classified"
4102,Neuralgic amyotrophy,3535,Neuralgic amyotrophy
4103,Phantom limb (syndrome),3536,Phantom limb (syndrome)
4104,Nerv root/plexus dis NEC,3538,Other nerve root and plexus disorders
4105,Nerv root/plexus dis NOS,3539,Unspecified nerve root and plexus disorder
4106,Carpal tunnel syndrome,3540,Carpal tunnel syndrome
4107,Median nerve lesion NEC,3541,Other lesion of median nerve
4108,Ulnar nerve lesion,3542,Lesion of ulnar nerve
4109,Radial nerve lesion,3543,Lesion of radial nerve
4110,Causalgia upper limb,3544,Causalgia of upper limb
4111,Mononeuritis multiplex,3545,Mononeuritis multiplex
4112,Mononeuritis arm NEC,3548,Other mononeuritis of upper limb
4113,Mononeuritis arm NOS,3549,"Mononeuritis of upper limb, unspecified"
4114,Sciatic nerve lesion,3550,Lesion of sciatic nerve
4115,Meralgia paresthetica,3551,Meralgia paresthetica
4116,Femoral nerve lesion NEC,3552,Other lesion of femoral nerve
4117,Lat popliteal nerve les,3553,Lesion of lateral popliteal nerve
4118,Med popliteal nerve les,3554,Lesion of medial popliteal nerve
4119,Tarsal tunnel syndrome,3555,Tarsal tunnel syndrome
4120,Plantar nerve lesion,3556,Lesion of plantar nerve
4121,Causalgia lower limb,35571,Causalgia of lower limb
4122,Oth mononeur lower limb,35579,Other mononeuritis of lower limb
4123,Mononeuritis leg NOS,3558,"Mononeuritis of lower limb, unspecified"
4124,Mononeuritis NOS,3559,Mononeuritis of unspecified site
4125,Hered periph neuropathy,3560,Hereditary peripheral neuropathy
4126,Peroneal muscle atrophy,3561,Peroneal muscular atrophy
4127,Hered sensory neuropathy,3562,Hereditary sensory neuropathy
4128,Refsum's disease,3563,Refsum's disease
4129,Idio prog polyneuropathy,3564,Idiopathic progressive polyneuropathy
4130,Idio periph neurpthy NEC,3568,Other specified idiopathic peripheral neuropathy
4131,Idio periph neurpthy NOS,3569,Unspecified hereditary and idiopathic peripheral neuropathy
4132,Ac infect polyneuritis,3570,Acute infective polyneuritis
4133,Neurpthy in col vasc dis,3571,Polyneuropathy in collagen vascular disease
4134,Neuropathy in diabetes,3572,Polyneuropathy in diabetes
4135,Neuropathy in malig dis,3573,Polyneuropathy in malignant disease
4136,Neuropathy in other dis,3574,Polyneuropathy in other diseases classified elsewhere
4137,Alcoholic polyneuropathy,3575,Alcoholic polyneuropathy
4138,Neuropathy due to drugs,3576,Polyneuropathy due to drugs
4139,Neurpthy toxic agent NEC,3577,Polyneuropathy due to other toxic agents
4140,Chr inflam polyneuritis,35781,Chronic inflammatory demyelinating polyneuritis
4141,Crit illness neuropathy,35782,Critical illness polyneuropathy
4142,Inflam/tox neuropthy NEC,35789,Other inflammatory and toxic neuropathy
4143,Inflam/tox neuropthy NOS,3579,Unspecified inflammatory and toxic neuropathy
4144,Mysthna grvs w/o ac exac,35800,Myasthenia gravis without (acute) exacerbation
4145,Myasthna gravs w ac exac,35801,Myasthenia gravis with (acute) exacerbation
4146,Myasthenia in oth dis,3581,Myasthenic syndromes in diseases classified elsewhere
4147,Toxic myoneural disorder,3582,Toxic myoneural disorders
4148,Lambert-Eaton synd NOS,35830,"Lambert-Eaton syndrome, unspecified"
4149,Lambert-Eaton synd neopl,35831,Lambert-Eaton syndrome in neoplastic disease
4150,Lambert-Eaton syn ot dis,35839,Lambert-Eaton syndrome in other diseases classified elsewhere
4151,Myoneural disorders NEC,3588,Other specified myoneural disorders
4152,Myoneural disorders NOS,3589,"Myoneural disorders, unspecified"
4153,Cong hered musc dystrphy,3590,Congenital hereditary muscular dystrophy
4154,Hered prog musc dystrphy,3591,Hereditary progressive muscular dystrophy
4155,Myotonic musclr dystrphy,35921,Myotonic muscular dystrophy
4156,Myotonia congenita,35922,Myotonia congenita
4157,Myotonic chondrodystrphy,35923,Myotonic chondrodystrophy
4158,Drug induced myotonia,35924,Drug- induced myotonia
4159,Myotonic disorder NEC,35929,Other specified myotonic disorder
4160,Periodic paralysis,3593,Periodic paralysis
4161,Toxic myopathy,3594,Toxic myopathy
4162,Myopathy in endocrin dis,3595,Myopathy in endocrine diseases classified elsewhere
4163,Infl myopathy in oth dis,3596,Symptomatic inflammatory myopathy in diseases classified elsewhere
4164,Inclusion body myositis,35971,Inclusion body myositis
4165,Inflm/immune myopath NEC,35979,"Other inflammatory and immune myopathies, NEC"
4166,Critical illness myopthy,35981,Critical illness myopathy
4167,Myopathies NEC,35989,Other myopathies
4168,Myopathy NOS,3599,"Myopathy, unspecified"
4169,Purulent endophthalm NOS,36000,"Purulent endophthalmitis, unspecified"
4170,Acute endophthalmitis,36001,Acute endophthalmitis
4171,Panophthalmitis,36002,Panophthalmitis
4172,Chronic endophthalmitis,36003,Chronic endophthalmitis
4173,Vitreous abscess,36004,Vitreous abscess
4174,Sympathetic uveitis,36011,Sympathetic uveitis
4175,Panuveitis,36012,Panuveitis
4176,Parasitic endophthal NOS,36013,Parasitic endophthalmitis NOS
4177,Ophthalmia nodosa,36014,Ophthalmia nodosa
4178,Endophthalmitis NEC,36019,Other endophthalmitis
4179,Degenerat globe dis NOS,36020,"Degenerative disorder of globe, unspecified"
4180,Progressive high myopia,36021,Progressive high (degenerative) myopia
4181,Siderosis,36023,Siderosis of globe
4182,"Other metallosis, eye",36024,Other metallosis of globe
4183,Eye disorder NOS,37990,"Disorder of eye, unspecified"
4184,Pain in or around eye,37991,Pain in or around eye
4185,Swelling or mass of eye,37992,Swelling or mass of eye
4186,Redness/discharge of eye,37993,Redness or discharge of eye
4187,Ill-defined eye dis NEC,37999,Other ill-defined disorders of eye
4188,Perichondritis pinna NOS,38000,"Perichondritis of pinna, unspecified"
4189,Ac perichondritis pinna,38001,Acute perichondritis of pinna
4190,Chr perichondritis pinna,38002,Chronic perichondritis of pinna
4191,Chondritis of pinna,38003,Chondritis of pinna
4192,Infec otitis externa NOS,38010,"Infective otitis externa, unspecified"
4193,Acute infection of pinna,38011,Acute infection of pinna
4194,Acute swimmers' ear,38012,Acute swimmers' ear
4195,Ataxia,43884,"Other late effects of cerebrovascular disease, ataxia"
4196,Vertigo,43885,"Other late effects of cerebrovascular disease, vertigo"
4197,Late effect CV dis NEC,43889,Other late effects of cerebrovascular disease
4198,Late effect CV dis NOS,4389,Unspecified late effects of cerebrovascular disease
4199,Aortic atherosclerosis,4400,Atherosclerosis of aorta
4200,Renal artery atheroscler,4401,Atherosclerosis of renal artery
4201,Athscl extrm ntv art NOS,44020,"Atherosclerosis of native arteries of the extremities, unspecified"
4202,Ath ext ntv at w claudct,44021,Atherosclerosis of native arteries of the extremities with intermittent claudication
4203,Ath ext ntv at w rst pn,44022,Atherosclerosis of native arteries of the extremities with rest pain
4204,Ath ext ntv art ulcrtion,44023,Atherosclerosis of native arteries of the extremities with ulceration
4205,Ath ext ntv art gngrene,44024,Atherosclerosis of native arteries of the extremities with gangrene
4206,Athrsc extrm ntv art oth,44029,Other atherosclerosis of native arteries of the extremities
4207,Athscl extrm bps gft NOS,44030,Atherosclerosis of unspecified bypass graft of the extremities
4208,Ath ext autologs bps gft,44031,Atherosclerosis of autologous vein bypass graft of the extremities
4209,Ath ext nonautlg bps gft,44032,Atherosclerosis of nonautologous biological bypass graft of the extremities
4210,Chr tot occl art extrem,4404,Chronic total occlusion of artery of the extremities
4211,Atherosclerosis NEC,4408,Atherosclerosis of other specified arteries
4212,Atherosclerosis NOS,4409,Generalized and unspecified atherosclerosis
4213,Dsct of aorta unsp site,44100,"Dissection of aorta, unspecified site"
4214,Dsct of thoracic aorta,44101,"Dissection of aorta, thoracic"
4215,Dsct of abdominal aorta,44102,"Dissection of aorta, abdominal"
4216,Dsct of thoracoabd aorta,44103,"Dissection of aorta, thoracoabdominal"
4217,Ruptur thoracic aneurysm,4411,"Thoracic aneurysm, ruptured"
4218,Thoracic aortic aneurysm,4412,Thoracic aneurysm without mention of rupture
4219,Rupt abd aortic aneurysm,4413,"Abdominal aneurysm, ruptured"
4220,Abdom aortic aneurysm,4414,Abdominal aneurysm without mention of rupture
4221,Rupt aortic aneurysm NOS,4415,"Aortic aneurysm of unspecified site, ruptured"
4222,Thoracoabd aneurysm rupt,4416,"Thoracoabdominal aneurysm, ruptured"
4223,Thracabd anurysm wo rupt,4417,"Thoracoabdominal aneurysm, without mention of rupture"
4224,Aortic aneurysm NOS,4419,Aortic aneurysm of unspecified site without mention of rupture
4225,Upper extremity aneurysm,4420,Aneurysm of artery of upper extremity
4226,Renal artery aneurysm,4421,Aneurysm of renal artery
4227,Iliac artery aneurysm,4422,Aneurysm of iliac artery
4228,Lower extremity aneurysm,4423,Aneurysm of artery of lower extremity
4229,Aneurysm of neck,44281,Aneurysm of artery of neck
4230,Subclavian aneurysm,44282,Aneurysm of subclavian artery
4231,Splenic artery aneurysm,44283,Aneurysm of splenic artery
4232,Visceral aneurysm NEC,44284,Aneurysm of other visceral artery
4233,Aneurysm NEC,44289,Aneurysm of other specified artery
4234,Aneurysm NOS,4429,Aneurysm of unspecified site
4235,Raynaud's syndrome,4430,Raynaud's syndrome
4236,Thromboangiit obliterans,4431,Thromboangiitis obliterans [Buerger's disease]
4237,Dissect carotid artery,44321,Dissection of carotid artery
4238,Dissection iliac artery,44322,Dissection of iliac artery
4239,Dissection renal artery,44323,Dissection of renal artery
4240,Dissect vertebral artery,44324,Dissection of vertebral artery
4241,Dissection artery NEC,44329,Dissection of other artery
4242,Angiopathy in other dis,44381,Peripheral angiopathy in diseases classified elsewhere
4243,Erythromelalgia,44382,Erythromelalgia
4244,Periph vascular dis NEC,44389,Other specified peripheral vascular diseases
4245,Periph vascular dis NOS,4439,"Peripheral vascular disease, unspecified"
4246,Saddle embolus abd aorta,44401,Saddle embolus of abdominal aorta
4247,Ot art emb/thrm abd aort,44409,Other arterial embolism and thrombosis of abdominal aorta
4248,Thoracic aortic embolism,4441,Embolism and thrombosis of thoracic aorta
4249,Upper extremity embolism,44421,Arterial embolism and thrombosis of upper extremity
4250,Lower extremity embolism,44422,Arterial embolism and thrombosis of lower extremity
4251,Iliac artery embolism,44481,Embolism and thrombosis of iliac artery
4252,Arterial embolism NEC,44489,Embolism and thrombosis of other specified artery
4253,Arterial embolism NOS,4449,Embolism and thrombosis of unspecified artery
4254,"Atheroembolism,upper ext",44501,Atheroembolism of upper extremity
4255,"Atheroembolism,lower ext",44502,Atheroembolism of lower extremity
4256,"Atheroembolism, kidney",44581,Atheroembolism of kidney
4257,"Atheroembolism, site NEC",44589,Atheroembolism of other site
4258,Polyarteritis nodosa,4460,Polyarteritis nodosa
4259,Mucocutan lymph node syn,4461,Acute febrile mucocutaneous lymph node syndrome [MCLS]
4260,Hypersensit angiitis NOS,44620,"Hypersensitivity angiitis, unspecified"
4261,Goodpasture's syndrome,44621,Goodpasture's syndrome
4262,Hypersensit angiitis NEC,44629,Other specified hypersensitivity angiitis
4263,Lethal midline granuloma,4463,Lethal midline granuloma
4264,Wegener's granulomatosis,4464,Wegener's granulomatosis
4265,Giant cell arteritis,4465,Giant cell arteritis
4266,Thrombot microangiopathy,4466,Thrombotic microangiopathy
4267,Takayasu's disease,4467,Takayasu's disease
4268,Acq arterioven fistula,4470,"Arteriovenous fistula, acquired"
4269,Stricture of artery,4471,Stricture of artery
4270,Rupture of artery,4472,Rupture of artery
4271,Renal artery hyperplasia,4473,Hyperplasia of renal artery
4272,Celiac art compress syn,4474,Celiac artery compression syndrome
4273,Necrosis of artery,4475,Necrosis of artery
4274,Arteritis NOS,4476,"Arteritis, unspecified"
4275,"Aortic ectasia, site NOS",44770,"Aortic ectasia, unspecified site"
4276,Thoracic aortic ectasia,44771,Thoracic aortic ectasia
4277,Abdominal aortic ectasia,44772,Abdominal aortic ectasia
4278,Thoracoabd aortc ectasia,44773,Thoracoabdominal aortic ectasia
4279,Arterial disease NEC,4478,Other specified disorders of arteries and arterioles
4280,Arterial disease NOS,4479,Unspecified disorders of arteries and arterioles
4281,Heredit hemorr telangiec,4480,Hereditary hemorrhagic telangiectasia
4282,"Nevus, non-neoplastic",4481,"Nevus, non-neoplastic"
4283,Capillary dis NEC/NOS,4489,Other and unspecified capillary diseases
4284,Septic arterial embolism,449,Septic arterial embolism
4285,Superfic phlebitis-leg,4510,Phlebitis and thrombophlebitis of superficial vessels of lower extremities
4286,Femoral vein phlebitis,45111,Phlebitis and thrombophlebitis of femoral vein (deep) (superficial)
4287,Deep phlebitis-leg NEC,45119,"Phlebitis and thrombophlebitis of deep veins of lower extremities, other"
4288,Thrombophlebitis leg NOS,4512,"Phlebitis and thrombophlebitis of lower extremities, unspecified"
4289,Iliac thrombophlebitis,45181,Phlebitis and thrombophlebitis of iliac vein
4290,Phlbts sprfc vn up extrm,45182,Phlebitis and thrombophlebitis of superficial veins of upper extremities
4291,Phlbts deep vn up extrm,45183,Phlebitis and thrombophlebitis of deep veins of upper extremities
4292,Phlbts vn NOS up extrm,45184,"Phlebitis and thrombophlebitis of upper extremities, unspecified"
4293,Thrombophlebitis NEC,45189,Phlebitis and thrombophlebitis of other sites
4294,Thrombophlebitis NOS,4519,Phlebitis and thrombophlebitis of unspecified site
4295,Portal vein thrombosis,452,Portal vein thrombosis
4296,Budd-chiari syndrome,4530,Budd-chiari syndrome
4297,Thrombophlebitis migrans,4531,Thrombophlebitis migrans
4298,Oth inf vena cava thromb,4532,Other venous embolism and thrombosis of inferior vena cava
4299,Renal vein thrombosis,4533,Other venous embolism and thrombosis of renal vein
4300,Rheumatic heart dis NOS,39890,"Rheumatic heart disease, unspecified"
4301,Rheumatic heart failure,39891,Rheumatic heart failure (congestive)
4302,Rheumatic heart dis NEC,39899,Other rheumatic heart diseases
4303,Malignant hypertension,4010,Malignant essential hypertension
4304,Benign hypertension,4011,Benign essential hypertension
4305,Hypertension NOS,4019,Unspecified essential hypertension
4306,Mal hyp ht dis w/o hf,40200,Malignant hypertensive heart disease without heart failure
4307,Mal hypert hrt dis w hf,40201,Malignant hypertensive heart disease with heart failure
4308,Benign hyp ht dis w/o hf,40210,Benign hypertensive heart disease without heart failure
4309,Benign hyp ht dis w hf,40211,Benign hypertensive heart disease with heart failure
4310,Hyp hrt dis NOS w/o hf,40290,Unspecified hypertensive heart disease without heart failure
4311,Hyp ht dis NOS w ht fail,40291,Unspecified hypertensive heart disease with heart failure
4312,Mal hy kid w cr kid I-IV,40300,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified"
4313,Mal hyp kid w cr kid V,40301,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease"
4314,Ben hy kid w cr kid I-IV,40310,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified"
4315,Ben hyp kid w cr kid V,40311,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease"
4316,Hy kid NOS w cr kid I-IV,40390,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
4317,Hyp kid NOS w cr kid V,40391,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
4318,Mal hy ht/kd I-IV w/o hf,40400,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
