,icd9_code,short_title,long_title
1099,2121,Rhinoscopy,Rhinoscopy
1100,2122,Nasal biopsy,Biopsy of nose
1101,2129,Nasal dx proc NEC,Other diagnostic procedures on nose
1102,2130,Nasal lesion excis NOS,"Excision or destruction of lesion of nose, not otherwise specified"
1103,2131,Intranas les destruction,Local excision or destruction of intranasal lesion
1104,2132,Nasal les destruct NEC,Local excision or destruction of other lesion of nose
1105,214,Resection of nose,Resection of nose
1106,215,Submuc nasal sept resect,Submucous resection of nasal septum
1107,2161,Diather/cryo turbinectom,Turbinectomy by diathermy or cryosurgery
1108,2162,Turbinate fracture,Fracture of the turbinates
1109,2169,Turbinectomy NEC,Other turbinectomy
1110,2171,Clos reduction nasal fx,Closed reduction of nasal fracture
1111,2933,Pharyngectomy,Pharyngectomy (partial)
1112,2939,Excis/destr les phar NEC,Other excision or destruction of lesion or tissue of pharynx
1113,294,Plastic op on pharynx,Plastic operation on pharynx
1114,2951,Suture of pharyngeal lac,Suture of laceration of pharynx
1115,2952,Clos branch cleft fistul,Closure of branchial cleft fistula
1116,2953,Clos pharynx fistula NEC,Closure of other fistula of pharynx
1117,2954,Lysis pharyngeal adhes,Lysis of pharyngeal adhesions
1118,2959,Pharyngeal repair NEC,Other repair of pharynx
1119,3322,Fiber-optic bronchoscopy,Fiber-optic bronchoscopy
1120,3323,Other bronchoscopy,Other bronchoscopy
1121,3324,Closed bronchial biopsy,Closed [endoscopic] biopsy of bronchus
1122,3325,Open bronchial biopsy,Open biopsy of bronchus
1123,3326,Closed lung biopsy,Closed [percutaneous] [needle] biopsy of lung
1124,3327,Clos endoscopic lung bx,Closed endoscopic biopsy of lung
1125,3328,Open lung biopsy,Open biopsy of lung
1126,3329,Bronch/lung dx proc NEC,Other diagnostic procedures on lung or bronchus
1127,3331,Destr phren-lung collaps,Destruction of phrenic nerve for collapse of lung
1128,3332,Pnemothorax-lung collaps,Artificial pneumothorax for collapse of lung
1129,3333,Pneumoperit-lung collaps,Pneumoperitoneum for collapse of lung
1130,3334,Thoracoplasty,Thoracoplasty
1131,3339,Surg collaps of lung NEC,Other surgical collapse of lung
1132,3341,Bronchial lacerat suture,Suture of laceration of bronchus
1133,3342,Bronchial fistula clos,Closure of bronchial fistula
1134,3343,Lung laceration closure,Closure of laceration of lung
1135,3348,Bronchial repair NEC,Other repair and plastic operations on bronchus
1136,3349,Lung repair NEC,Other repair and plastic operations on lung
1137,3350,Lung transplant NOS,"Lung transplantation, not otherwise specified"
1138,3351,Unilat lung transplant,Unilateral lung transplantation
1139,3352,Bilat lung transplant,Bilateral lung transplantation
1140,336,Comb heart/lung transpla,Combined heart-lung transplantation
1141,3371,"Endo ins/re bron val,one","Endoscopic insertion or replacement of bronchial valve(s), single lobe"
1142,3372,Endo pulm arwy flow msmt,Endoscopic pulmonary airway flow measurement
1143,3373,"Endo ins/re brnc val,mul","Endoscopic insertion or replacement of bronchial valve(s), multiple lobes"
1144,3378,Endo rem bronch devc/sub,Endoscopic removal of bronchial device(s) or substances
1145,3379,Endo insrt bronc def/sub,Endoscopic insertion of other bronchial device or substances
1146,3391,Bronchial dilation,Bronchial dilation
1147,3392,Bronchial ligation,Ligation of bronchus
1148,3393,Puncture of lung,Puncture of lung
1149,3398,Bronchial operation NEC,Other operations on bronchus
1150,3399,Lung operation NEC,Other operations on lung
1151,3401,Incision of chest wall,Incision of chest wall
1152,3402,Exploratory thoracotomy,Exploratory thoracotomy
1153,3403,Reopen thoracotomy site,Reopening of recent thoracotomy site
1154,3404,Insert intercostal cath,Insertion of intercostal catheter for drainage
1155,3405,PlEuroperitoneal shunt,Creation of pleuroperitoneal shunt
1156,3406,Thorac drain pleurl cav,Thoracoscopic drainage of pleural cavity
1157,3409,Other pleural incision,Other incision of pleura
1158,341,Incision of mediastinum,Incision of mediastinum
1159,3420,Thoracoscopic pleural bx,Thoracoscopic pleural biopsy
1160,3421,Transpleura thoracoscopy,Transpleural thoracoscopy
1161,3422,Mediastinoscopy,Mediastinoscopy
1162,3423,Chest wall biopsy,Biopsy of chest wall
1163,3424,Pleural biopsy NEC,Other pleural biopsy
1164,3425,Clos mediastinal biopsy,Closed [percutaneous] [needle] biopsy of mediastinum
1165,3426,Open mediastinal biopsy,Open mediastinal biopsy
1166,3427,Biopsy of diaphragm,Biopsy of diaphragm
1167,3428,Dx procedure thorax NEC,"Other diagnostic procedures on chest wall, pleura, and diaphragm"
1168,3429,Dx proc mediastinum NEC,Other diagnostic procedures on mediastinum
1169,343,Destruct mediastin les,Excision or destruction of lesion or tissue of mediastinum
1170,344,Destruct chest wall les,Excision or destruction of lesion of chest wall
1171,3471,Suture chest wall lacer,Suture of laceration of chest wall
1172,3472,Thoracostomy closure,Closure of thoracostomy
1173,3473,Clos thoracic fistul NEC,Closure of other fistula of thorax
1174,3474,Pectus deformity repair,Repair of pectus deformity
1175,3479,Other chest wall repair,Other repair of chest wall
1176,3481,Excise diaphragm lesion,Excision of lesion or tissue of diaphragm
1177,3482,Suture diaphragm lacerat,Suture of laceration of diaphragm
1178,3483,Close diaphragm fistula,Closure of fistula of diaphragm
1179,3484,Other diaphragm repair,Other repair of diaphragm
1180,3485,Implant diaphra pacemake,Implantation of diaphragmatic pacemaker
1181,3489,Diaphragm operation NEC,Other operations on diaphragm
1182,3491,Thoracentesis,Thoracentesis
1183,3492,Inject into thorax cavit,Injection into thoracic cavity
1184,3493,Repair of pleura,Repair of pleura
1185,3499,Thoracic operation NEC,Other operations on thorax
1186,3500,Closed valvotomy NOS,"Closed heart valvotomy, unspecified valve"
1187,3501,Closed aortic valvotomy,"Closed heart valvotomy, aortic valve"
1188,3502,Closed mitral valvotomy,"Closed heart valvotomy, mitral valve"
1189,3503,Closed pulmon valvotomy,"Closed heart valvotomy, pulmonary valve"
1190,3504,Closed tricusp valvotomy,"Closed heart valvotomy, tricuspid valve"
1191,3505,Endovas repl aortc valve,Endovascular replacement of aortic valve
1192,3506,Trnsapcl rep aortc valve,Transapical replacement of aortic valve
1193,3507,Endovas repl pulm valve,Endovascular replacement of pulmonary valve
1194,3508,Trnsapcl repl pulm valve,Transapical replacement of pulmonary valve
1195,3509,Endovas repl uns hrt vlv,Endovascular replacement of unspecified heart valve
1196,3510,Open valvuloplasty NOS,"Open heart valvuloplasty without replacement, unspecified valve"
1197,3511,Opn aortic valvuloplasty,Open heart valvuloplasty of aortic valve without replacement
1198,3512,Opn mitral valvuloplasty,Open heart valvuloplasty of mitral valve without replacement
1199,3513,Opn pulmon valvuloplasty,Open heart valvuloplasty of pulmonary valve without replacement
1200,3514,Opn tricus valvuloplasty,Open heart valvuloplasty of tricuspid valve without replacement
1201,3520,Opn/oth rep hrt vlv NOS,Open and other replacement of unspecified heart valve
1202,3521,Opn/oth rep aort vlv-tis,Open and other replacement of aortic valve with tissue graft
1203,3522,Opn/oth rep aortic valve,Open and other replacement of aortic valve
1204,3523,Opn/oth rep mtrl vlv-tis,Open and other replacement of mitral valve with tissue graft
1205,3451,Decortication of lung,Decortication of lung
1206,3452,Thoracoscopc decort lung,Thoracoscopic decortication of lung
1207,3459,Other pleural excision,Other excision of pleura
1208,346,Scarification of pleura,Scarification of pleura
1209,5012,Open liver biopsy,Open biopsy of liver
1210,5013,Transjugular liver bx,Transjugular liver biopsy
1211,5014,Laparoscopic liver bx,Laparoscopic liver biopsy
1212,5019,Hepatic dx proc NEC,Other diagnostic procedures on liver
1213,5021,Marsupializat liver les,Marsupialization of lesion of liver
1214,5022,Partial hepatectomy,Partial hepatectomy
1215,5023,Opn abltn liver les/tiss,Open ablation of liver lesion or tissue
1216,5024,Perc abltn liver les/tis,Percutaneous ablation of liver lesion or tissue
1217,5025,Lap abltn liver les/tiss,Laparoscopic ablation of liver lesion or tissue
1218,5026,Abltn liver les/tiss NEC,Other and unspecified ablation of liver lesion or tissue
1219,5029,Destruc hepatic les NEC,Other destruction of lesion of liver
1220,503,Hepatic lobectomy,Lobectomy of liver
1221,504,Total hepatectomy,Total hepatectomy
1222,5051,Auxiliary liver transpl,Auxiliary liver transplant
1223,5059,Liver transplant NEC,Other transplant of liver
1224,5061,Closure liver lacerat,Closure of laceration of liver
1225,5069,Liver repair NEC,Other repair of liver
1226,5091,Percutan liver aspirat,Percutaneous aspiration of liver
1227,5092,Extracorpor hepat Assis,Extracorporeal hepatic assistance
1228,5093,Local perfusion liver,Localized perfusion of liver
1229,5094,Hepatic injection NEC,Other injection of therapeutic substance into liver
1230,5099,Liver operation NEC,Other operations on liver
1231,5101,Percutan aspiration gb,Percutaneous aspiration of gallbladder
1232,5102,Trocar cholecystostomy,Trocar cholecystostomy
1233,5103,Cholecystostomy NEC,Other cholecystostomy
1234,5104,Cholecystotomy NEC,Other cholecystotomy
1235,5110,Endosc retro cholangiopa,Endoscopic retrograde cholangiopancreatography [ERCP]
1236,5111,Endosc retro cholangio,Endoscopic retrograde cholangiography [ERC]
1237,5112,Percu bx gb/bile duct,Percutaneous biopsy of gallbladder or bile ducts
1238,5113,Open biliary tract bx,Open biopsy of gallbladder or bile ducts
1239,5114,Clo endosc bx bile duct,Other closed [endoscopic] biopsy of biliary duct or sphincter of Oddi
1240,5115,Sphinct of oddi measure,Pressure measurement of sphincter of Oddi
1241,5119,Biliary tr dx proc NEC,Other diagnostic procedures on biliary tract
1242,5121,Oth part cholecystectomy,Other partial cholecystectomy
1243,5122,Cholecystectomy,Cholecystectomy
1244,5123,Laparoscopic cholecystec,Laparoscopic cholecystectomy
1245,5124,Lap part cholecystectomy,Laparoscopic partial cholecystectomy
1246,5131,Gb-to-hepat duct anast,Anastomosis of gallbladder to hepatic ducts
1247,5132,Gb-to-intestine anastom,Anastomosis of gallbladder to intestine
1248,5133,Gb-to-pancreas anastom,Anastomosis of gallbladder to pancreas
1249,5134,Gb-to-stomach anastomos,Anastomosis of gallbladder to stomach
1250,5135,Gallbladder anastom NEC,Other gallbladder anastomosis
1251,5136,Choledochoenterostomy,Choledochoenterostomy
1252,5137,Hepatic duct-gi anastom,Anastomosis of hepatic duct to gastrointestinal tract
1253,5139,Bile duct anastomos NEC,Other bile duct anastomosis
1254,5141,Cde for calculus remov,Common duct exploration for removal of calculus
1255,5142,Cde for obstruction NEC,Common duct exploration for relief of other obstruction
1256,5143,Choledochohepat intubat,Insertion of choledochohepatic tube for decompression
1257,5149,Incis obstr bile duc NEC,Incision of other bile ducts for relief of obstruction
1258,5151,Common duct exploration,Exploration of common duct
1259,5159,Bile duct incision NEC,Other incision of other bile duct
1260,5161,Excis cyst duct remnant,Excision of cystic duct remnant
1261,5162,Excis ampulla of vater,Excision of ampulla of Vater (with reimplantation of common duct)
1262,5163,Common duct excis NEC,Other excision of common duct
1263,5164,Endosc destru bile les,Endoscopic excision or destruction of lesion of biliary ducts or sphincter of Oddi
1264,5169,Bile duct excision NEC,Excision of other bile duct
1265,5171,Simple sut-common duct,Simple suture of common bile duct
1266,5172,Choledochoplasty,Choledochoplasty
1267,5219,Pancreatic dx proc NEC,Other diagnostic procedures on pancreas
1268,5221,Endosc destr pancrea les,Endoscopic excision or destruction of lesion or tissue of pancreatic duct
1269,5222,Other destru pancrea les,Other excision or destruction of lesion or tissue of pancreas or pancreatic duct
1270,523,Pancreat cyst marsupiali,Marsupialization of pancreatic cyst
1271,524,Int drain pancreat cyst,Internal drainage of pancreatic cyst
1272,5179,Bile duct repair NEC,Repair of other bile ducts
1273,5181,Sphincter of oddi dilat,Dilation of sphincter of Oddi
1274,5182,Pancreat sphincterotom,Pancreatic sphincterotomy
1275,5183,Pancreat sphincteroplas,Pancreatic sphincteroplasty
1276,5184,Endosc dilation ampulla,Endoscopic dilation of ampulla and biliary duct
1277,5185,Endosc sphincterotomy,Endoscopic sphincterotomy and papillotomy
1278,5186,Endosc inser nasobil tub,Endoscopic insertion of nasobiliary drainage tube
1279,5187,Endosc inser stent bile,Endoscopic insertion of stent (tube) into bile duct
1280,5188,Endosc remove bile stone,Endoscopic removal of stone(s) from biliary tract
1281,5189,Sphinct of oddi op NEC,Other operations on sphincter of Oddi
1282,5191,Repair gb laceration,Repair of laceration of gallbladder
1283,5192,Closure cholecystostomy,Closure of cholecystostomy
1284,5193,Clos biliary fistul NEC,Closure of other biliary fistula
1285,5194,Revis bile tract anastom,Revision of anastomosis of biliary tract
1286,5195,Remove bile duct prosth,Removal of prosthetic device from bile duct
1287,5196,Perc extrac com duc calc,Percutaneous extraction of common duct stones
1288,5198,Oth perc proc bil trct,Other percutaneous procedures on biliary tract
1289,5199,Biliary tract op NEC,Other operations on biliary tract
1290,5201,Cath drain-pancreat cyst,Drainage of pancreatic cyst by catheter
1291,5209,Pancreatotomy NEC,Other pancreatotomy
1292,5211,Closed pancreatic biopsy,Closed [aspiration] [needle] [percutaneous] biopsy of pancreas
1293,5212,Open pancreatic biopsy,Open biopsy of pancreas
1294,5213,Endosc retro pancreatog,Endoscopic retrograde pancreatography [ERP]
1295,5214,Clo endosc bx pancre duc,Closed [endoscopic] biopsy of pancreatic duct
1296,4534,Destr sm bowel les NEC,"Other destruction of lesion of small intestine, except duodenum"
1297,4541,Excise lg intestine les,Excision of lesion or tissue of large intestine
1298,4542,Endo polpectomy lrge int,Endoscopic polypectomy of large intestine
1299,4543,Endosc destru lg int les,Endoscopic destruction of other lesion or tissue of large intestine
1300,4549,Destruc lg bowel les NEC,Other destruction of lesion of large intestine
1301,4550,Intest seg isolat NOS,"Isolation of intestinal segment, not otherwise specified"
1302,4551,Sm bowel segment isolat,Isolation of segment of small intestine
1303,4552,Lg bowel segment isolat,Isolation of segment of large intestine
1304,4561,Mult seg sm bowel excis,Multiple segmental resection of small intestine
1305,4562,Part sm bowel resect NEC,Other partial resection of small intestine
1306,4563,Total removal sm bowel,Total removal of small intestine
1307,4571,Opn mul seg lg intes NEC,Open and other multiple segmental resection of large intestine
1308,4572,Open cecectomy NEC,Open and other cecectomy
1309,4573,Opn rt hemicolectomy NEC,Open and other right hemicolectomy
1310,4574,Opn transv colon res NEC,Open and other resection of transverse colon
1311,4575,Opn lft hemicolectmy NEC,Open and other left hemicolectomy
1312,4576,Open sigmoidectomy NEC,Open and other sigmoidectomy
1313,4579,Prt lg intes exc NEC/NOS,Other and unspecified partial excision of large intestine
1314,4581,Lap tot intr-ab colectmy,Laparoscopic total intra-abdominal colectomy
1315,4582,Op tot intr-abd colectmy,Open total intra-abdominal colectomy
1316,4583,Tot abd colectmy NEC/NOS,Other and unspecified total intra-abdominal colectomy
1317,4590,Intestinal anastom NOS,"Intestinal anastomosis, not otherwise specified"
1318,4591,Sm-to-sm bowel anastom,Small-to-small intestinal anastomosis
1319,4592,Sm bowel-rect stump anas,Anastomosis of small intestine to rectal stump
1320,4593,Small-to-large bowel NEC,Other small-to-large intestinal anastomosis
1321,4594,Lg-to-lg bowel anastom,Large-to-large intestinal anastomosis
1322,4595,Anal anastomosis,Anastomosis to anus
1323,4601,Sm bowel exteriorization,Exteriorization of small intestine
1324,4602,Resect ext seg sm bowel,Resection of exteriorized segment of small intestine
1325,4603,Lg bowel exteriorization,Exteriorization of large intestine
1326,4604,Resect ext seg lg bowel,Resection of exteriorized segment of large intestine
1327,4610,Colostomy NOS,"Colostomy, not otherwise specified"
1328,4611,Temporary colostomy,Temporary colostomy
1329,4613,Permanent colostomy,Permanent colostomy
1330,4614,Delay opening colostomy,Delayed opening of colostomy
1331,4620,Ileostomy NOS,"Ileostomy, not otherwise specified"
1332,4621,Temporary ileostomy,Temporary ileostomy
1333,4622,Continent ileostomy,Continent ileostomy
1334,4623,Permanent ileostomy NEC,Other permanent ileostomy
1335,4624,Delay opening ileostomy,Delayed opening of ileostomy
1336,4631,Delay opening enterostom,Delayed opening of other enterostomy
1337,4632,Percu endosc jejunostomy,Percutaneous (endoscopic) jejunostomy [PEJ]
1338,4639,Enterostomy NEC,Other enterostomy
1339,4640,Intest stoma revis NOS,"Revision of intestinal stoma, not otherwise specified"
1340,4641,Sm bowel stoma revision,Revision of stoma of small intestine
1341,4642,Pericolost hernia repair,Repair of pericolostomy hernia
1342,4643,Lg bowel stoma revis NEC,Other revision of stoma of large intestine
1343,4650,Intest stoma closure NOS,"Closure of intestinal stoma, not otherwise specified"
1344,4651,Sm bowel stoma closure,Closure of stoma of small intestine
1345,4652,Lg bowel stoma closure,Closure of stoma of large intestine
1346,4660,Intestinal fixation NOS,"Fixation of intestine, not otherwise specified"
1347,4661,Sm bowel-abd wall fixat,Fixation of small intestine to abdominal wall
1348,4662,Small bowel fixation NEC,Other fixation of small intestine
1349,4663,Lg bowel-abd wall fixat,Fixation of large intestine to abdominal wall
1350,4664,Large bowel fixation NEC,Other fixation of large intestine
1351,4671,Duodenal lacerat suture,Suture of laceration of duodenum
1352,4672,Duodenal fistula closure,Closure of fistula of duodenum
1353,4673,Small bowel suture NEC,"Suture of laceration of small intestine, except duodenum"
1354,4674,Close sm bowel fist NEC,"Closure of fistula of small intestine, except duodenum"
1355,4675,Suture lg bowel lacerat,Suture of laceration of large intestine
1356,4676,Close lg bowel fistula,Closure of fistula of large intestine
1357,4679,Repair of intestine NEC,Other repair of intestine
1358,4680,Intra-ab bowel manip NOS,"Intra-abdominal manipulation of intestine, not otherwise specified"
1359,4681,Intra-abd sm bowel manip,Intra-abdominal manipulation of small intestine
1360,4682,Intra-abd lg bowel manip,Intra-abdominal manipulation of large intestine
1361,4685,Dilation of intestine,Dilation of intestine
1362,4686,Endo insrt colonic stent,Endoscopic insertion of colonic stent(s)
1363,4687,Insert colonic stent NEC,Other insertion of colonic stent(s)
1364,4691,Myotomy of sigmoid colon,Myotomy of sigmoid colon
1365,4692,Myotomy of colon NEC,Myotomy of other parts of colon
1366,4693,Revise sm bowel anastom,Revision of anastomosis of small intestine
1367,4694,Revise lg bowel anastom,Revision of anastomosis of large intestine
1368,4695,Local sm bowel perfusion,Local perfusion of small intestine
1369,4696,Local lg bowel perfusion,Local perfusion of large intestine
1370,4697,Transplant of intestine,Transplant of intestine
1371,4699,Intestinal op NEC,Other operations on intestines
1372,4701,Lap appendectomy,Laparoscopic appendectomy
1373,4709,Other appendectomy,Other appendectomy
1374,4711,Lap incid appendectomy,Laparoscopic incidental appendectomy
1375,4719,Other incid appendectomy,Other incidental appendectomy
1376,472,Drain appendiceal absc,Drainage of appendiceal abscess
1377,4791,Appendicostomy,Appendicostomy
1378,4792,Close appendiceal fistul,Closure of appendiceal fistula
1379,4799,Appendiceal ops NEC,Other operations on appendix
1380,480,Proctotomy,Proctotomy
1381,481,Proctostomy,Proctostomy
1382,4821,Transab proctosigmoidosc,Transabdominal proctosigmoidoscopy
1383,4822,Proctosigmoidosc thru st,Proctosigmoidoscopy through artificial stoma
1384,4823,Rigid proctosigmoidoscpy,Rigid proctosigmoidoscopy
1385,4824,Closed rectal biopsy,Closed [endoscopic] biopsy of rectum
1386,4825,Open rectal biopsy,Open biopsy of rectum
1387,4826,Perirectal tissue biopsy,Biopsy of perirectal tissue
1388,4829,Rect/perirect dx op NEC,"Other diagnostic procedures on rectum, rectosigmoid and perirectal tissue"
1389,4831,Rad electrocoag-rect les,Radical electrocoagulation of rectal lesion or tissue
1390,4832,Electrocoag rect les NEC,Other electrocoagulation of rectal lesion or tissue
1391,4833,Laser destruc rectal les,Destruction of rectal lesion or tissue by laser
1392,4834,Cryosurg destr rect les,Destruction of rectal lesion or tissue by cryosurgery
1393,4835,Local excis rectal les,Local excision of rectal lesion or tissue
1394,4836,Polypectomy of rectum,[Endoscopic] polypectomy of rectum
1395,4840,Pull-thru res rectum NOS,"Pull-through resection of rectum, not otherwise specified"
1396,4841,Soave submuc rect resect,Soave submucosal resection of rectum
1397,4842,Lap pull-thru res rectum,Laparoscopic pull-through resection of rectum
1398,4843,Opn pull-thru res rectum,Open pull-through resection of rectum
1399,4849,Pull-thru rect resec NEC,Other pull-through resection of rectum
1400,5502,Nephrostomy,Nephrostomy
1401,4850,Abdperneal res rectm NOS,"Abdominoperineal resection of the rectum, not otherwise specified"
1402,4851,Lap abdperneal resc rec,Laparoscopic abdominoperineal resection of the rectum
1403,4852,Opn abdperneal resc rec,Open abdominoperineal resection of the rectum
1404,4859,Abdperneal resc rect NEC,Other abdominoperineal resection of the rectum
1405,4861,Transsac rectosigmoidect,Transsacral rectosigmoidectomy
1406,4862,Ant rect resect w colost,Anterior resection of rectum with synchronous colostomy
1407,4863,Anterior rect resect NEC,Other anterior resection of rectum
1408,4864,Posterior rect resection,Posterior resection of rectum
1409,4865,Duhamel rectal resection,Duhamel resection of rectum
1410,4869,Rectal resection NEC,Other resection of rectum
1411,4871,Suture of rectal lacer,Suture of laceration of rectum
1412,4872,Closure of proctostomy,Closure of proctostomy
1413,4873,Close rectal fist NEC,Closure of other rectal fistula
1414,4874,Rectorectostomy,Rectorectostomy
1415,4875,Abdominal proctopexy,Abdominal proctopexy
1416,4876,Proctopexy NEC,Other proctopexy
1417,4879,Repair of rectum NEC,Other repair of rectum
1418,4881,Perirectal incision,Incision of perirectal tissue
1419,4882,Perirectal excision,Excision of perirectal tissue
1420,4891,Incis rectal stricture,Incision of rectal stricture
1421,4892,Anorectal myomectomy,Anorectal myectomy
1422,4893,Repair perirect fistula,Repair of perirectal fistula
1423,4899,Rectal perirect op NEC,Other operations on rectum and perirectal tissue
1424,4901,Incis perianal abscess,Incision of perianal abscess
1425,4902,Perianal incision NEC,Other incision of perianal tissue
1426,4903,Excis perianal skin tag,Excision of perianal skin tags
1427,4904,Perianal excision NEC,Other excision of perianal tissue
1428,4911,Anal fistulotomy,Anal fistulotomy
1429,4912,Anal fistulectomy,Anal fistulectomy
1430,5531,Renal les marsupializat,Marsupialization of kidney lesion
1431,5532,Opn abltn renal les/tiss,Open ablation of renal lesion or tissue
1432,5533,Perc abltn renl les/tiss,Percutaneous ablation of renal lesion or tissue
1433,5534,Lap abltn renal les/tiss,Laparoscopic ablation of renal lesion or tissue
1434,5535,Abltn renal les/tiss NEC,Other and unspecified ablation of renal lesion or tissue
1435,5539,Loc destr renal les NEC,Other local destruction or excision of renal lesion or tissue
1436,554,Partial nephrectomy,Partial nephrectomy
1437,5551,Nephroureterectomy,Nephroureterectomy
1438,5552,Solitary kidney nephrect,Nephrectomy of remaining kidney
1439,5553,Rejected kidney nephrect,Removal of transplanted or rejected kidney
1440,5554,Bilateral nephrectomy,Bilateral nephrectomy
1441,5561,Renal autotransplant,Renal autotransplantation
1442,5569,Kidney transplant NEC,Other kidney transplantation
1443,557,Nephropexy,Nephropexy
1444,5581,Suture kidney laceration,Suture of laceration of kidney
1445,5582,Close nephrost & pyelost,Closure of nephrostomy and pyelostomy
1446,5583,Close renal fistula NEC,Closure of other fistula of kidney
1447,5584,Reduce renal pedicl tors,Reduction of torsion of renal pedicle
1448,5585,Symphysiotomy,Symphysiotomy for horseshoe kidney
1449,5586,Renal anastomosis,Anastomosis of kidney
1450,5587,Correct ureteropelv junc,Correction of ureteropelvic junction
1451,5589,Renal repair NEC,Other repair of kidney
1452,5591,Renal decapsulation,Decapsulation of kidney
1453,5592,Percutan renal aspirat,Percutaneous aspiration of kidney (pelvis)
1454,5593,Replace nephrostomy tube,Replacement of nephrostomy tube
1455,5594,Replace pyelostomy tube,Replacement of pyelostomy tube
1456,5595,Local renal perfusion,Local perfusion of kidney
1457,5596,Renal injection NEC,Other injection of therapeutic substance into kidney
1458,5597,Implant mechanic kidney,Implantation or replacement of mechanical kidney
1459,5598,Remov mechanical kidney,Removal of mechanical kidney
1460,5599,Renal operation NEC,Other operations on kidney
1461,560,Tu remov ureter obstruct,Transurethral removal of obstruction from ureter and renal pelvis
1462,561,Ureteral meatotomy,Ureteral meatotomy
1463,562,Ureterotomy,Ureterotomy
1464,5631,Ureteroscopy,Ureteroscopy
1465,5632,Closed ureteral biopsy,Closed percutaneous biopsy of ureter
1466,5633,Clos endosc ureteral bx,Closed endoscopic biopsy of ureter
1467,5634,Open ureteral biopsy,Open biopsy of ureter
1468,5635,Endoscopic ileal conduit,Endoscopy (cystoscopy) (looposcopy) of ileal conduit
1469,5639,Ureteral dx procedur NEC,Other diagnostic procedures on ureter
1470,5640,Ureterectomy NOS,"Ureterectomy, not otherwise specified"
1471,5641,Partial ureterectomy,Partial ureterectomy
1472,5642,Total ureterectomy,Total ureterectomy
1473,5651,Form cutan ileoureterost,Formation of cutaneous uretero-ileostomy
1474,5652,Revis cutan ileoureteros,Revision of cutaneous uretero-ileostomy
1475,5661,Form cutan ureterostomy,Formation of other cutaneous ureterostomy
1476,5662,Revis cutan ureteros NEC,Revision of other cutaneous ureterostomy
1477,5671,Urin diversion to bowel,Urinary diversion to intestine
1478,5672,Revis ureteroenterostomy,Revision of ureterointestinal anastomosis
1479,5673,Nephrocystanastomosi NOS,"Nephrocystanastomosis, not otherwise specified"
1480,5674,Ureteroneocystostomy,Ureteroneocystostomy
1481,5675,Transureteroureterostomy,Transureteroureterostomy
1482,5679,Ureteral anastomosis NEC,Other anastomosis or bypass of ureter
1483,5681,Intralum urete adhesioly,Lysis of intraluminal adhesions of ureter
1484,5682,Suture ureteral lacerat,Suture of laceration of ureter
1485,5683,Ureterostomy closure,Closure of ureterostomy
1486,5684,Close ureter fistula NEC,Closure of other fistula of ureter
1487,5685,Ureteropexy,Ureteropexy
1488,5686,Remove ureteral ligature,Removal of ligature from ureter
1489,5689,Repair of ureter NEC,Other repair of ureter
1490,5691,Ureteral meatus dilation,Dilation of ureteral meatus
1491,5692,Implant ureteral stimul,Implantation of electronic ureteral stimulator
1492,5693,Replace ureteral stimul,Replacement of electronic ureteral stimulator
1493,5694,Remove ureteral stimulat,Removal of electronic ureteral stimulator
1494,5695,Ligation of ureter,Ligation of ureter
1495,5699,Ureteral operation NEC,Other operations on ureter
1496,570,Tu bladder clearance,Transurethral clearance of bladder
1497,5711,Percutan bladder aspirat,Percutaneous aspiration of bladder
1498,5712,Cystotomy & adhesiolysis,Lysis of intraluminal adhesions with incision into bladder
1499,5251,Proximal pancreatectomy,Proximal pancreatectomy
1500,5252,Distal pancreatectomy,Distal pancreatectomy
1501,5253,Rad subtot pancreatectom,Radical subtotal pancreatectomy
1502,5259,Partial pancreatect NEC,Other partial pancreatectomy
1503,526,Total pancreatectomy,Total pancreatectomy
1504,527,Rad pancreaticoduodenect,Radical pancreaticoduodenectomy
1505,5281,Reimplant pancreatic tis,Reimplantation of pancreatic tissue
1506,5282,Pancreatic homotransplan,Homotransplant of pancreas
1507,5283,Pancreatic heterotranspl,Heterotransplant of pancreas
1508,5284,Autotrnsplnt islets lang,Autotransplantation of cells of Islets of Langerhans
1509,5285,Allotrnsplnt islets lang,Allotransplantation of cells of Islets of Langerhans
1510,5286,Trnsplnt islets lang NOS,"Transplantation of cells of Islets of Langerhans, not otherwise specified"
1511,5292,Cannulation pancrea duc,Cannulation of pancreatic duct
1512,5293,Endosc inser panc stent,Endoscopic insertion of stent (tube) into pancreatic duct
1513,5294,Endosc remove panc stone,Endoscopic removal of stone(s) from pancreatic duct
1514,5295,Pancreatic repair NEC,Other repair of pancreas
1515,5296,Pancreatic anastomosis,Anastomosis of pancreas
1516,5297,Endosc inser nasopan tub,Endoscopic insertion of nasopancreatic drainage tube
1517,5298,Endosc dil pancreat duct,Endoscopic dilation of pancreatic duct
1518,5299,Pancreatic operation NEC,Other operations on pancreas
1519,5300,Unilat ing hern rep NOS,"Unilateral repair of inguinal hernia, not otherwise specified"
1520,5301,Opn rep dir ing hern NEC,Other and open repair of direct inguinal hernia
1521,5302,Opn rep ind ing hern NEC,Other and open repair of indirect inguinal hernia
1522,5303,Opn dir ing hern-gft NEC,Other and open repair of direct inguinal hernia with graft or prosthesis
1523,5304,Opn ind ing hern-gft NEC,Other and open repair of indirect inguinal hernia with graft or prosthesis
