"Code","Descriptor","CodeSystem"
"114583007","Salmonella II 1,9,12:y:z39 (organism)","SNOMEDCT"
"114584001","Salmonella II 1,9,12:z:1,7 (organism)","SNOMEDCT"
"114585000","Salmonella II 1,9,12:z:z6 (organism)","SNOMEDCT"
"114586004","Salmonella II 9,12:z:z39 (organism)","SNOMEDCT"
"114588003","Salmonella Natal (organism)","SNOMEDCT"
"114589006","Salmonella Franken (organism)","SNOMEDCT"
"114590002","Salmonella Treguier (organism)","SNOMEDCT"
"114591003","Salmonella Ruanda (organism)","SNOMEDCT"
"114592005","Salmonella II 9,12:z29:1,5 (organism)","SNOMEDCT"
"114593000","Salmonella II 1,9,12:z39:1,7 (organism)","SNOMEDCT"
"114595007","Salmonella II 1,9,12:l,w:e,n,x (organism)","SNOMEDCT"
"114596008","Salmonella Cheltenham (organism)","SNOMEDCT"
"114597004","Salmonella II 9,46:b:e,n,x (organism)","SNOMEDCT"
"114599001","Salmonella Macclesfield (organism)","SNOMEDCT"
"114600003","Salmonella II 9,46:g,[m],[s],t:[e,n,x] (organism)","SNOMEDCT"
"114601004","Salmonella II 9,46:g,z62:- (organism)","SNOMEDCT"
"114602006","Salmonella Ackwepe (organism)","SNOMEDCT"
"114603001","Salmonella Nordrhein (organism)","SNOMEDCT"
"114604007","Salmonella Deckstein (organism)","SNOMEDCT"
"114605008","Salmonella Irchel (organism)","SNOMEDCT"
"114606009","Salmonella Nantes (organism)","SNOMEDCT"
"114607000","Salmonella II 9,46:z:1,5 (organism)","SNOMEDCT"
"114608005","Salmonella II 9,46:z:e,n,x (organism)","SNOMEDCT"
"114609002","Salmonella II 9,46:z4,z24:z39:z42 (organism)","SNOMEDCT"
"114612004","Salmonella II 1,9,12,46,27:a:z6 (organism)","SNOMEDCT"
"114613009","Salmonella II 1,9,12,46,27:c:z39 (organism)","SNOMEDCT"
"114615002","Salmonella II 3,10:a:e,n,x (organism)","SNOMEDCT"
"114616001","Salmonella II 3,10:a:l,v (organism)","SNOMEDCT"
"114618000","Salmonella Lamberhurst (organism)","SNOMEDCT"
"114619008","Salmonella II 3,10,[15]:g,m,s,t:[1,5] (organism)","SNOMEDCT"
"114620002","Salmonella II 3,10:g,t:- (organism)","SNOMEDCT"
"114621003","Salmonella II 3,10:m,t:1,5 (organism)","SNOMEDCT"
"114622005","Salmonella II 3,10:m,t:e,n,x (organism)","SNOMEDCT"
"114623000","Salmonella Tibati (organism)","SNOMEDCT"
"114624006","Salmonella Hoboken (organism)","SNOMEDCT"
"114625007","Salmonella Serrekunda (organism)","SNOMEDCT"
"114626008","Salmonella II 3,10:l,v:z6 (organism)","SNOMEDCT"
"114627004","Salmonella II 3,10:l,z28:e,n,x (organism)","SNOMEDCT"
"114628009","Salmonella II 3,10:z:1,5 (organism)","SNOMEDCT"
"114629001","Salmonella Harleystreet (organism)","SNOMEDCT"
"114630006","Salmonella II 3,10:z:e,n,x (organism)","SNOMEDCT"
"114631005","Salmonella II 3,10:z:z39 (organism)","SNOMEDCT"
"114632003","Salmonella Wagadugu (organism)","SNOMEDCT"
"114633008","Salmonella Okerara (organism)","SNOMEDCT"
"114635001","Salmonella II 3,10:z38:z42 (organism)","SNOMEDCT"
"114636000","Salmonella II 17:z10:- (organism)","SNOMEDCT"
"114638004","Salmonella Aachen (organism)","SNOMEDCT"
"114639007","Salmonella IV 17:z36:- (organism)","SNOMEDCT"
"114640009","Salmonella II 17:c:z39 (organism)","SNOMEDCT"
"114641008","Salmonella IIIb 18:l,v:z53 (organism)","SNOMEDCT"
"114642001","Salmonella Potengi (organism)","SNOMEDCT"
"114644000","Salmonella IIIb 18:z10:e,n,x,z15 (organism)","SNOMEDCT"
"114645004","Salmonella Leer (organism)","SNOMEDCT"
"114646003","Salmonella II 18:z10:z6 (organism)","SNOMEDCT"
"114647007","Salmonella II 18:z36:- (organism)","SNOMEDCT"
"114648002","Salmonella Delmenhorst (organism)","SNOMEDCT"
"114649005","Salmonella Tennenlohe (organism)","SNOMEDCT"
"114651009","Salmonella IIIb 21:c:e,n,x,z15 (organism)","SNOMEDCT"
"114652002","Salmonella II 21:g,[m],[s],t:- (organism)","SNOMEDCT"
"114653007","Salmonella IV 21:g,z51:- (organism)","SNOMEDCT"
"114654001","Salmonella II 21:m,t:- (organism)","SNOMEDCT"
"114655000","Salmonella Surrey (organism)","SNOMEDCT"
"114656004","Salmonella Jambur (organism)","SNOMEDCT"
"114657008","Salmonella Mountmagnet (organism)","SNOMEDCT"
"114658003","Salmonella IIIb 21:r:z (organism)","SNOMEDCT"
"114659006","Salmonella Ibaragi (organism)","SNOMEDCT"
"114661002","Salmonella IV 21:z4,z32:- (organism)","SNOMEDCT"
"114662009","Salmonella II 21:z10:[z6] (organism)","SNOMEDCT"
"114663004","Salmonella IIIb 21:z10:z53 (organism)","SNOMEDCT"
"114664005","Salmonella IV 21:z36:- (organism)","SNOMEDCT"
"114665006","Salmonella IV 21:z4,z23:- (organism)","SNOMEDCT"
"114666007","Salmonella II 28:a:e,n,x (organism)","SNOMEDCT"
"114667003","Salmonella Dibra (organism)","SNOMEDCT"
"114668008","Salmonella Soumbedioune (organism)","SNOMEDCT"
"114669000","Salmonella II 28:b:e,n,x (organism)","SNOMEDCT"
"114670004","Salmonella Freefalls (organism)","SNOMEDCT"
"114671000","Salmonella II 28:b:z6 (organism)","SNOMEDCT"
"114672007","Salmonella Yardley (organism)","SNOMEDCT"
"114673002","Salmonella II 28:g,(m),[s],t:1,5 (organism)","SNOMEDCT"
"114674008","Salmonella II 28:g,m,t:z39 (organism)","SNOMEDCT"
"114675009","Salmonella Morillons (organism)","SNOMEDCT"
"114676005","Salmonella Douala (organism)","SNOMEDCT"
"114677001","Salmonella Catalunia (organism)","SNOMEDCT"
"114678006","Salmonella Penilla (organism)","SNOMEDCT"
"114679003","Salmonella II 28:I,z28:1,5 (organism)","SNOMEDCT"
"114681001","Salmonella Vanier (organism)","SNOMEDCT"
"114682008","Salmonella II 28:z:1,5 (organism)","SNOMEDCT"
"114683003","Salmonella Doel (organism)","SNOMEDCT"
"114684009","Salmonella II 28:z:z39 (organism)","SNOMEDCT"
"114685005","Salmonella Cannobio (organism)","SNOMEDCT"
"114686006","Salmonella Libreville (organism)","SNOMEDCT"
"114687002","Salmonella IIIb 28:z10:z (organism)","SNOMEDCT"
"114688007","Salmonella II 28:z29:1,5 (organism)","SNOMEDCT"
"114689004","Salmonella II 28:z29:e,n,x (organism)","SNOMEDCT"
"114690008","Salmonella Konolfingen (organism)","SNOMEDCT"
"114691007","Salmonella Santander (organism)","SNOMEDCT"
"114692000","Salmonella II 30:a:z39 (organism)","SNOMEDCT"
"114693005","Salmonella Torhout (organism)","SNOMEDCT"
"114694004","Salmonella II 30:g,t:- (organism)","SNOMEDCT"
"114695003","Salmonella II 30:m,t:- (organism)","SNOMEDCT"
"114696002","Salmonella Mjordan (organism)","SNOMEDCT"
"114697006","Salmonella Ockenheim (organism)","SNOMEDCT"
"114698001","Salmonella II 30:l,z28:z6 (organism)","SNOMEDCT"
"114699009","Salmonella Grandhaven (organism)","SNOMEDCT"
"114700005","Salmonella Stoneferry (organism)","SNOMEDCT"
"114701009","Salmonella Senneville (organism)","SNOMEDCT"
"114702002","Salmonella II 30:z10:e,n,x,z15 (organism)","SNOMEDCT"
"114703007","Salmonella Gouloumbo (organism)","SNOMEDCT"
"114704001","Salmonella II 35:d:1,5 (organism)","SNOMEDCT"
"114705000","Salmonella II 35:g,t:1,5 (organism)","SNOMEDCT"
"114706004","Salmonella II 35:m,t- (organism)","SNOMEDCT"
"114707008","Salmonella IIIb 35:i:z35 (organism)","SNOMEDCT"
"114708003","Salmonella IIIb 35:k:z53 (organism)","SNOMEDCT"
"114709006","Salmonella IIIb 35:k:e,n,x,z15 (organism)","SNOMEDCT"
"114710001","Salmonella IIIb 35:l,v:z35:[z67] (organism)","SNOMEDCT"
"114711002","Salmonella IIIb 35:r:z (organism)","SNOMEDCT"
"114712009","Salmonella II 35:z29:e,n,x (organism)","SNOMEDCT"
"114713004","Salmonella Oran (organism)","SNOMEDCT"
"114714005","Salmonella II 38:d:1,5 (organism)","SNOMEDCT"
"114715006","Salmonella II 38:g,t:- (organism)","SNOMEDCT"
"114716007","Salmonella Rothenburgsort (organism)","SNOMEDCT"
"114717003","Salmonella IIIb 38:k: e,n,x,z15 (organism)","SNOMEDCT"
"114718008","Salmonella IIIb 38:(k):z35 (organism)","SNOMEDCT"
"114719000","Salmonella Taylor (organism)","SNOMEDCT"
"114720006","Salmonella IIIb 38:r:z:[z57] (organism)","SNOMEDCT"
"114721005","Salmonella Stachus (organism)","SNOMEDCT"
"114723008","Salmonella Neunkirchen (organism)","SNOMEDCT"
"114724002","Salmonella IIIb 38:z53:- (organism)","SNOMEDCT"
"114725001","Salmonella IIIb 38:z61:[z53] (organism)","SNOMEDCT"
"114726000","Salmonella II 39:e,n,x:1,7 (organism)","SNOMEDCT"
"114727009","Salmonella II 39:[g],m,t:[e,n,x] (organism)","SNOMEDCT"
"114728004","Salmonella Cumberland (organism)","SNOMEDCT"
"114729007","Salmonella Alma (organism)","SNOMEDCT"
"114730002","Salmonella II 39:l,v:1,5 (organism)","SNOMEDCT"
"114731003","Salmonella II 39:l,z28:e,n,x (organism)","SNOMEDCT"
"114732005","Salmonella II 39:l,z28:z39 (organism)","SNOMEDCT"
"114733000","Salmonella Hegau (organism)","SNOMEDCT"
"114734006","Salmonella II 39:-:1,7 (organism)","SNOMEDCT"
"114735007","Salmonella II 40:a:z39 (organism)","SNOMEDCT"
"114736008","Salmonella II 1,40:c:e,n,x,z15 (organism)","SNOMEDCT"
"114737004","Salmonella II 40:d:- (organism)","SNOMEDCT"
"114738009","Salmonella II 1.40:e,n,x :1,[5],7 (organism)","SNOMEDCT"
"114739001","Salmonella II 1,40:e,n,x,z15 :1,6 (organism)","SNOMEDCT"
"114740004","Salmonella II 1,40:g,[m],[s],[t]:e,n,x (organism)","SNOMEDCT"
"114741000","Salmonella II 1,40:g,[m],[s],t:1,5 (organism)","SNOMEDCT"
"114742007","Salmonella II 1,40:g,t:e,n,x,z15 (organism)","SNOMEDCT"
"114743002","Salmonella II 40:g,t:z39 (organism)","SNOMEDCT"
"114744008","Salmonella IV 1,40:g,t:- (organism)","SNOMEDCT"
"114745009","Salmonella II 1,40:g,[m],[s],t:z42 (organism)","SNOMEDCT"
"114746005","Salmonella IIIa 40:g,z51:- (organism)","SNOMEDCT"
"114747001","Salmonella IV 1,40:g,z51:- (organism)","SNOMEDCT"
"114748006","Salmonella II 1,40:k:e,n,x,z15 (organism)","SNOMEDCT"
"114749003","Salmonella II 40:k:z6 (organism)","SNOMEDCT"
"114750003","Salmonella Canary (organism)","SNOMEDCT"
"114751004","Salmonella II 40:l,v:e,n,x (organism)","SNOMEDCT"
"114752006","Salmonella Tiko (organism)","SNOMEDCT"
"114753001","Salmonella II 1,40:l,z28:1,5:z42 (organism)","SNOMEDCT"
"114754007","Salmonella II 1,40:l,z28:z39 (organism)","SNOMEDCT"
"114755008","Salmonella II 1,40:z:1,5 (organism)","SNOMEDCT"
"114756009","Salmonella II 1,40:z:z39 (organism)","SNOMEDCT"
"114757000","Salmonella II 40:z:z42 (organism)","SNOMEDCT"
"114758005","Salmonella IV 1,40:z4,z23:- (organism)","SNOMEDCT"
"114759002","Salmonella II 40:z4,z24:z39 (organism)","SNOMEDCT"
"114760007","Salmonella II 1,40:z35:e,n,x,z15 (organism)","SNOMEDCT"
"114761006","Salmonella Yekepa (organism)","SNOMEDCT"
"114762004","Salmonella V 1,40:z35:- (organism)","SNOMEDCT"
"114763009","Salmonella II 1,40:z39:1,5:z42 (organism)","SNOMEDCT"
"114764003","Salmonella II 1,40:z39:1,6 (organism)","SNOMEDCT"
"114765002","Salmonella IIIb 40:z39:1,6 (organism)","SNOMEDCT"
"114766001","Salmonella II 40:z39:1,7 (organism)","SNOMEDCT"
"114767005","Salmonella II 1,40:z42:1,6 (organism)","SNOMEDCT"
"114768000","Salmonella V 1,40:z81:- (organism)","SNOMEDCT"
"114770009","Salmonella Burundi (organism)","SNOMEDCT"
"114771008","Salmonella Vaugirard (organism)","SNOMEDCT"
"114772001","Salmonella VI 41:b:1,7 (organism)","SNOMEDCT"
"114773006","Salmonella Sica (organism)","SNOMEDCT"
"114774000","Salmonella II 41:d:z6 (organism)","SNOMEDCT"
"114775004","Salmonella II 41:g,t:- (organism)","SNOMEDCT"
"114776003","Salmonella Samaru (organism)","SNOMEDCT"
"114777007","Salmonella Verona (organism)","SNOMEDCT"
"114778002","Salmonella Ferlo (organism)","SNOMEDCT"
"114779005","Salmonella II 41:k:1,6 (organism)","SNOMEDCT"
"114780008","Salmonella II 41:k:z6 (organism)","SNOMEDCT"
"114781007","Salmonella II 41:z:1,5 (organism)","SNOMEDCT"
"114782000","Salmonella Bofflens (organism)","SNOMEDCT"
"114783005","Salmonella II 41:z10:1,2 (organism)","SNOMEDCT"
"114784004","Salmonella II 41:z10:e,n,x,z (organism)","SNOMEDCT"
"114785003","Salmonella II 41:z10:e,n,x,z15 (organism)","SNOMEDCT"
"114786002","Salmonella IV 41:z29:- (organism)","SNOMEDCT"
"114787006","Salmonella Ahoutoue (organism)","SNOMEDCT"
"114788001","Salmonella IV 41:z52:- (organism)","SNOMEDCT"
"114789009","Salmonella II 41:g,m,s,t:z6 (organism)","SNOMEDCT"
"114790000","Salmonella II 42:b:1,5 (organism)","SNOMEDCT"
"114791001","Salmonella Orbe (organism)","SNOMEDCT"
"114792008","Salmonella II 42:b:e,n,x,z15 (organism)","SNOMEDCT"
"114793003","Salmonella II 42:b:z6 (organism)","SNOMEDCT"
"114794009","Salmonella II 42:d:z6 (organism)","SNOMEDCT"
"114795005","Salmonella II 42:e,n,x:1,6 (organism)","SNOMEDCT"
"114796006","Salmonella II 42:g,t:- (organism)","SNOMEDCT"
"114797002","Salmonella IV 1,42:g,z51:- (organism)","SNOMEDCT"
"114798007","Salmonella Borromea (organism)","SNOMEDCT"
"114799004","Salmonella IIIb 42:k:e,n,x,z15 (organism)","SNOMEDCT"
"114800000","Salmonella II 42:l,v:e,n,x,z15 (organism)","SNOMEDCT"
"114801001","Salmonella II 1,42:l,w:e,n,x (organism)","SNOMEDCT"
"114802008","Salmonella II 42:r:- (organism)","SNOMEDCT"
"114803003","Salmonella Spalentor (organism)","SNOMEDCT"
"114804009","Salmonella II 42:z:1,5 (organism)","SNOMEDCT"
"114805005","Salmonella II 42:z:e,n,x,z15 (organism)","SNOMEDCT"
"114807002","Salmonella II 42:z:z6 (organism)","SNOMEDCT"
"114808007","Salmonella Broc (organism)","SNOMEDCT"
"114809004","Salmonella IV 1,42:z4,z24:- (organism)","SNOMEDCT"
"114810009","Salmonella II 42:z10:1,2 (organism)","SNOMEDCT"
"114811008","Salmonella IIIb 42:z10:z67 (organism)","SNOMEDCT"
"114812001","Salmonella Hennekamp (organism)","SNOMEDCT"
"114813006","Salmonella Tema (organism)","SNOMEDCT"
"114814000","Salmonella II 43:a:1,5 (organism)","SNOMEDCT"
"114815004","Salmonella Niederoderwitz (organism)","SNOMEDCT"
"114816003","Salmonella II 43:b:z42 (organism)","SNOMEDCT"
"114817007","Salmonella Orleans (organism)","SNOMEDCT"
"114818002","Salmonella II 43:g,m,[s],t:[z42] (organism)","SNOMEDCT"
"114819005","Salmonella II 43:g,t:[1,5] (organism)","SNOMEDCT"
"114820004","Salmonella IIIa 43:g,z51:- (organism)","SNOMEDCT"
"114821000","Salmonella Voulte (organism)","SNOMEDCT"
"114822007","Salmonella Sudan (organism)","SNOMEDCT"
"114823002","Salmonella II 43:l,z13,z28:1,5 (organism)","SNOMEDCT"
"114824008","Salmonella Arusha (organism)","SNOMEDCT"
"114825009","Salmonella II 43:z4,z23:- (organism)","SNOMEDCT"
"114826005","Salmonella IV 43:z4,z23:- (organism)","SNOMEDCT"
"114827001","Salmonella IV 43:z4,z32:- (organism)","SNOMEDCT"
"114828006","Salmonella Makiling (organism)","SNOMEDCT"
"114829003","Salmonella IV 43:z36,z38:- (organism)","SNOMEDCT"
"114830008","Salmonella II 43:z42:1,5,7 (organism)","SNOMEDCT"
"114831007","Salmonella IV 44:a:- (organism)","SNOMEDCT"
"114832000","Salmonella Splott (organism)","SNOMEDCT"
"114833005","Salmonella IIIb 44:g,t:1,5:z42 (organism)","SNOMEDCT"
"114834004","Salmonella Maritzburg (organism)","SNOMEDCT"
"114835003","Salmonella V 44:r:- (organism)","SNOMEDCT"
"114836002","Salmonella Bolama (organism)","SNOMEDCT"
"114837006","Salmonella Ploufragan (organism)","SNOMEDCT"
"114838001","Salmonella IV 1,44:z4,z32:- (organism)","SNOMEDCT"
"114839009","Salmonella Llobregat (organism)","SNOMEDCT"
"114841005","Salmonella IV 44:z29:- (organism)","SNOMEDCT"
"114842003","Salmonella II 1,44:z39:e,n,x,z15 (organism)","SNOMEDCT"
"114843008","Salmonella V 44:z39:- (organism)","SNOMEDCT"
"114845001","Salmonella II 44:z29:e,n,x:z42 (organism)","SNOMEDCT"
"114846000","Salmonella VI 45:a:e,n,x (organism)","SNOMEDCT"
"114847009","Salmonella II 45:a:z10 (organism)","SNOMEDCT"
"114848004","Salmonella Warmsen (organism)","SNOMEDCT"
"114849007","Salmonella II 45:g,m,s,t:1,5 (organism)","SNOMEDCT"
"114850007","Salmonella II 45:g,m,s,t:e,n,x (organism)","SNOMEDCT"
"114851006","Salmonella II 45:g,m,t:e,n,x,z15 (organism)","SNOMEDCT"
"114852004","Salmonella Verviers (organism)","SNOMEDCT"
"114853009","Salmonella Imo (organism)","SNOMEDCT"
"114854003","Salmonella Kofandoka (organism)","SNOMEDCT"
"114855002","Salmonella II 45:z:1,5 (organism)","SNOMEDCT"
"114856001","Salmonella Yopougon (organism)","SNOMEDCT"
"114857005","Salmonella II 45:z:z39 (organism)","SNOMEDCT"
"114858000","Salmonella IIIa 45:z4,z23:- (organism)","SNOMEDCT"
"114859008","Salmonella Transvaal (organism)","SNOMEDCT"
"114860003","Salmonella Aprad (organism)","SNOMEDCT"
"114861004","Salmonella IV 45:z36,z38:- (organism)","SNOMEDCT"
"114862006","Salmonella II 47:a:1,5 (organism)","SNOMEDCT"
"114863001","Salmonella Wenatchee (organism)","SNOMEDCT"
"114864007","Salmonella II 47:b:1,5 (organism)","SNOMEDCT"
"114865008","Salmonella II 47:b:e,n,x,z15 (organism)","SNOMEDCT"
"114866009","Salmonella II 47:b:z6 (organism)","SNOMEDCT"
"114867000","Salmonella II 47:d:z39 (organism)","SNOMEDCT"
"114868005","Salmonella II 47:e,n,x,z15:1,6 (organism)","SNOMEDCT"
"114869002","Salmonella IIIa 47:g,z51:- (organism)","SNOMEDCT"
"114870001","Salmonella IIIb 47:l,v:z (organism)","SNOMEDCT"
"114871002","Salmonella IV 47:l,v:- (organism)","SNOMEDCT"
"114872009","Salmonella IIIb 47:r:e,n,x,z15 (organism)","SNOMEDCT"
"114873004","Salmonella II 47:z:z6 (organism)","SNOMEDCT"
"114874005","Salmonella Binche (organism)","SNOMEDCT"
"114875006","Salmonella IIIa 47:z4,z23:- (organism)","SNOMEDCT"
"114876007","Salmonella Namoda (organism)","SNOMEDCT"
"114877003","Salmonella II 47:z29:e,n,x,z15 (organism)","SNOMEDCT"
"114878008","Salmonella IV 47:z36:- (organism)","SNOMEDCT"
"114879000","Salmonella V 48:b:- (organism)","SNOMEDCT"
"11488000","Salmonella Sundsvall (organism)","SNOMEDCT"
"114880002","Salmonella II 48:d:1,2 (organism)","SNOMEDCT"
"114881003","Salmonella II 48:d:z6 (organism)","SNOMEDCT"
"114882005","Salmonella Buckeye (organism)","SNOMEDCT"
"114883000","Salmonella II 48:e,n,x,z15:z6 (organism)","SNOMEDCT"
"114884006","Salmonella II 48:g,m,t:- (organism)","SNOMEDCT"
"114885007","Salmonella IV 48:g,z51:- (organism)","SNOMEDCT"
"114886008","Salmonella IIIb 48:i:z61 (organism)","SNOMEDCT"
"114887004","Salmonella V 48:i:- (organism)","SNOMEDCT"
"114888009","Salmonella II 48:k:z39 (organism)","SNOMEDCT"
"114889001","Salmonella Australia (organism)","SNOMEDCT"
"114890005","Salmonella II 48:z:1,5 (organism)","SNOMEDCT"
"114891009","Salmonella IIIb 48:z:1,5,7 (organism)","SNOMEDCT"
"114892002","Salmonella IV 48:z4,z23:- (organism)","SNOMEDCT"
"114893007","Salmonella II 48:z10:[1,5] (organism)","SNOMEDCT"
"114894001","Salmonella VI 48:z10:1,5 (organism)","SNOMEDCT"
"114896004","Salmonella IV 48:z29:- (organism)","SNOMEDCT"
"114897008","Salmonella IIIb 48:z35:z52 (organism)","SNOMEDCT"
"114898003","Salmonella V 48:z35:- (organism)","SNOMEDCT"
"114899006","Salmonella V 48:z39:- (organism)","SNOMEDCT"
"114900001","Salmonella V 48:z41:- (organism)","SNOMEDCT"
"114901002","Salmonella V 48:z65:- (organism)","SNOMEDCT"
"114902009","Salmonella V 48:z81:- (organism)","SNOMEDCT"
"114903004","Salmonella IV 50:a:- (organism)","SNOMEDCT"
"114905006","Salmonella IV 50:b:- (organism)","SNOMEDCT"
"114906007","Salmonella Hemingford (organism)","SNOMEDCT"
"114907003","Salmonella IV 50:d:- (organism)","SNOMEDCT"
"114908008","Salmonella II 50:e,n,x:1,7 (organism)","SNOMEDCT"
"114909000","Salmonella II 50: g,[m],s,t:[1,5] (organism)","SNOMEDCT"
"114910005","Salmonella IV 50:g,z51:- (organism)","SNOMEDCT"
"114911009","Salmonella II 50:g,z62:e,n,x (organism)","SNOMEDCT"
"114913007","Salmonella II 50:k:e,n,x:z42 (organism)","SNOMEDCT"
"114914001","Salmonella II 50:k:z6 (organism)","SNOMEDCT"
"114915000","Salmonella VI 50:l,v:z67 (organism)","SNOMEDCT"
"114916004","Salmonella IIIb 50:z:z52 (organism)","SNOMEDCT"
"114918003","Salmonella IIIa 50:z4,z32:- (organism)","SNOMEDCT"
"114919006","Salmonella IV 50:z4,z32:- (organism)","SNOMEDCT"
"114920000","Salmonella IIIb 50:z10:z (organism)","SNOMEDCT"
"114921001","Salmonella II 50:z10:z6:z42 (organism)","SNOMEDCT"
"114922008","Salmonella Ivorycoast (organism)","SNOMEDCT"
"114924009","Salmonella IIIb 50:z52:z53 (organism)","SNOMEDCT"
"114925005","Salmonella IV 51:a:- (organism)","SNOMEDCT"
"114926006","Salmonella Karaya (organism)","SNOMEDCT"
"114927002","Salmonella IV 51:b:- (organism)","SNOMEDCT"
"114928007","Salmonella II 51:c:- (organism)","SNOMEDCT"
"114929004","Salmonella II 51:g,s,t:e,n,x (organism)","SNOMEDCT"
"114930009","Salmonella Harcourt (organism)","SNOMEDCT"
"114932001","Salmonella Moundou (organism)","SNOMEDCT"
"114933006","Salmonella II 51:l,z28:z6 (organism)","SNOMEDCT"
"114934000","Salmonella II 51:l,z28:z39 (organism)","SNOMEDCT"
"114937007","Salmonella IIIa 51:z4,z32:- (organism)","SNOMEDCT"
"114938002","Salmonella Bergues (organism)","SNOMEDCT"
"114939005","Salmonella II 51:-:1,7 (organism)","SNOMEDCT"
"114940007","Salmonella II 52:d:z39 (organism)","SNOMEDCT"
"114941006","Salmonella Bordeaux (organism)","SNOMEDCT"
"114943009","Salmonella II 52:z:z39 (organism)","SNOMEDCT"
"114944003","Salmonella IIIb 52:z:z52 (organism)","SNOMEDCT"
"114945002","Salmonella II 52:z39:1,5,7 (organism)","SNOMEDCT"
"114946001","Salmonella II 52:z44:1,5,7 (organism)","SNOMEDCT"
"114947005","Salmonella II 53:c:1,5 (organism)","SNOMEDCT"
"114948000","Salmonella IIIb 53:k:z53 (organism)","SNOMEDCT"
"114949008","Salmonella II 53:l,z28:e,n,x (organism)","SNOMEDCT"
"114950008","Salmonella II 53:l,z28:z6 (organism)","SNOMEDCT"
"114951007","Salmonella II 53:l,z28:z39 (organism)","SNOMEDCT"
"114952000","Salmonella IIIb 53:r:z68 (organism)","SNOMEDCT"
"114954004","Salmonella IIIb 53:z10:z (organism)","SNOMEDCT"
"114955003","Salmonella IV 1,53:z36,z38:- (organism)","SNOMEDCT"
"114956002","Salmonella Leda (organism)","SNOMEDCT"
"114957006","Salmonella Newholland (organism)","SNOMEDCT"
"114958001","Salmonella Barry (organism)","SNOMEDCT"
"114959009","Salmonella II 55:k:z39 (organism)","SNOMEDCT"
"114960004","Salmonella II 56:b- (organism)","SNOMEDCT"
"114961000","Salmonella II 56:z:z6 (organism)","SNOMEDCT"
"114962007","Salmonella II 57:a:z42 (organism)","SNOMEDCT"
"114963002","Salmonella Batonrouge (organism)","SNOMEDCT"
"114964008","Salmonella IIIb 57:c:e,n,x,z15 (organism)","SNOMEDCT"
"114965009","Salmonella IIIb 57:k:e,n,x,z15 (organism)","SNOMEDCT"
"114966005","Salmonella IIIb 57:z10:z (organism)","SNOMEDCT"
"114967001","Salmonella II 57:z29:z42 (organism)","SNOMEDCT"
"114968006","Salmonella II 57:z39:e,n,x,z15 (organism)","SNOMEDCT"
"114969003","Salmonella II 57:z42:1,6:z53 (organism)","SNOMEDCT"
"114970002","Salmonella IIIb 58:k:z (organism)","SNOMEDCT"
"114971003","Salmonella II 58:l,z13,z28:1,5 (organism)","SNOMEDCT"
"114972005","Salmonella II 58:l,z13,z28:z6 (organism)","SNOMEDCT"
"114973000","Salmonella II 58:z6:1,6 (organism)","SNOMEDCT"
"114974006","Salmonella IIIb 58:z10:e,n,x,z15 (organism)","SNOMEDCT"
"114975007","Salmonella IIIb 58:z10:z53 (organism)","SNOMEDCT"
"114976008","Salmonella II 58:z39:e,n,x,z15 (organism)","SNOMEDCT"
"114977004","Salmonella IIIb 59:c:e,n,x,z15 (organism)","SNOMEDCT"
"114978009","Salmonella IIIb 59:i:e,n,x,z15 (organism)","SNOMEDCT"
"114979001","Salmonella II 59:k:(z) (organism)","SNOMEDCT"
"114980003","Salmonella IIIb 59:r:z35 (organism)","SNOMEDCT"
"114981004","Salmonella II 1,59:z:z6 (organism)","SNOMEDCT"
"114982006","Salmonella IIIb 59:z52:z53 (organism)","SNOMEDCT"
"114983001","Salmonella II 60:b:- (organism)","SNOMEDCT"
"114984007","Salmonella II 60:g,m,t:z6 (organism)","SNOMEDCT"
"114985008","Salmonella IIIb 60:i:z (organism)","SNOMEDCT"
"114986009","Salmonella II 60:z:e,n,x (organism)","SNOMEDCT"
"114987000","Salmonella IIIb 60:z10:z53 (organism)","SNOMEDCT"
"114988005","Salmonella II 60:z29:e,n,x (organism)","SNOMEDCT"
"114989002","Salmonella V 60:z41:- (organism)","SNOMEDCT"
"114990006","Salmonella IIIb 61:k:z35 (organism)","SNOMEDCT"
"114991005","Salmonella IIIb 61:r:z (organism)","SNOMEDCT"
"114992003","Salmonella V 61:z35:- (organism)","SNOMEDCT"
"114993008","Salmonella IIIa 62:z29:- (organism)","SNOMEDCT"
"114994002","Salmonella IIIa 62:z36:- (organism)","SNOMEDCT"
"114995001","Salmonella II 65:g,t:- (organism)","SNOMEDCT"
"114996000","Salmonella IIIb 65:r:z35 (organism)","SNOMEDCT"
"114997009","Salmonella IIIb 65:z52:e,n,x,z15 (organism)","SNOMEDCT"
"114999007","Salmonella V 66:z35:- (organism)","SNOMEDCT"
"115000007","Salmonella V 66:z39:- (organism)","SNOMEDCT"
"115001006","Salmonella V 66:z41:- (organism)","SNOMEDCT"
"115002004","Salmonella V 66:z65:- (organism)","SNOMEDCT"
"115003009","Salmonella V 66:z81:- (organism)","SNOMEDCT"
"11521007","Salmonella Hillingdon (organism)","SNOMEDCT"
"115408009","Salmonella, serogroup D (organism)","SNOMEDCT"
"115409001","Salmonella, serogroup E (organism)","SNOMEDCT"
"115410006","Salmonella, serogroup G (organism)","SNOMEDCT"
